コード,二次医療圏,総人口,高齢者数,医師数,病院数,病床数,病床数（精神）,病床数（療養）,病床数（一般）
2808,但馬,"166,030","58,150",364,11,1928,556,197,1164
2809,丹波,"105,303","35,720",214,7,1370,266,446,654
2810,淡路,"133,856","47,857",322,11,2042,355,901,767
2811,阪神,"1,781,166","473,285","4,869",89,18147,2314,4416,11331
2812,播磨姫路,"813,346","233,997","1,799",60,9899,2175,1679,6035
2901,奈良,"356,027","109,774","1,059",22,4264,627,658,2942
2902,東和,"211,649","67,866",610,12,2488,43,394,2047
2903,西和,"339,693","106,016",727,18,3933,836,599,2498
2904,中和,"375,831","106,792","1,271",19,4843,1381,944,2509
2905,南和,"72,428","28,192",143,4,556,-,187,365
3001,和歌山,"425,932","133,165","1,784",43,6236,777,1026,4425
3002,那賀,"115,807","32,312",217,8,1156,218,274,660
3003,橋本,"86,195","29,697",189,5,888,120,112,652
3004,有田,"72,873","24,235",135,6,931,300,155,472
3005,御坊,"68,045","23,404",158,4,959,100,51,789
3006,田辺,"123,624","35,336",312,9,1620,198,361,1057
3007,新宮,"65,646","27,065",146,8,1162,335,213,610
3101,東部,"225,368","68,479",608,14,3349,739,646,1950
3102,中部,"102,234","34,619",235,10,1490,278,315,893
3103,西部,"259,128","81,538","1,028",19,3533,757,782,1984
3201,松江,"240,335","73,169",843,13,3504,886,358,2242
3202,雲南,"54,995","22,169",90,5,642,100,180,358
3203,出雲,"174,995","51,878",71,11,2695,460,611,1618
3204,大田,"67,555","27,028",111,4,576,168,126,278
3205,浜田,"76,772","28,599",103,7,1335,408,334,589
3206,益田,"59,740","23,547",183,5,937,215,148,566
3207,隠岐,"19,713","8,128",68,2,159,22,24,111
3301,県南東部,"1,036,704","299,993",18,76,13850,2964,1502,9296
3302,県南西部,"711,581","207,300",6,53,9574,1363,1638,6538
3303,高梁・新見,"59,205","24,068",11,8,872,240,233,399
3304,真庭,"45,892","17,615",79,7,767,170,172,425
3305,津山・英田,"178,148","60,007",352,17,2292,535,614,1125
3401,広島,"1,539,962","419,988","4,243",95,15667,3354,3433,8821
3402,広島西,"144,035","44,270",2,13,2483,476,880,1127
3403,呉,"244,434","87,498",767,30,4451,1278,744,2383
3404,広島中央,"221,351","58,975",464,20,3242,920,628,1674
3405,尾三,"245,317","87,452",592,23,4135,917,764,2454
3406,福山・府中,"738,092","193,356","1,106",46,6332,1490,1294,3536
3407,備北,"86,749","33,316",227,10,1686,235,654,795
3501,岩国,"139,979","48,496",9,17,2254,525,694,1035
3502,柳井,"77,031","32,048",168,8,1844,430,604,810
3503,周南,"281,224","91,303",1,24,3639,609,1219,1799
3504,山口・防府,"307,417","91,153",758,27,4601,1142,1338,2107
3505,宇部・小野田,"250,571","85,083","1,054",28,5590,1537,1418,2605
3506,下関,"260,897","91,598",1,26,5047,1096,1808,2107
3507,長門,"33,600","14,311",7,5,861,318,185,350
3508,萩,"31,558","11,449",95,7,947,188,428,331
3601,東部,"520,207","159,366","2,002",71,9844,2635,2885,4286
3603,南部,"154,621","56,728",407,19,2125,258,481,1378
3605,西部,"77,441","30,876",158,17,1722,682,381,645
3702,小豆,"28,214","11,809",41,3,465,184,81,191
3706,東部,"536,625","157,819","1,848",42,7045,1384,815,4807
3707,西部,"416,441","131,960",997,43,6627,1711,1244,3664
3801,宇摩,"86,406","27,796",161,8,1235,362,345,528
3802,新居浜・西条,"227,931","72,868",465,21,3766,1031,660,2050
3803,今治,"165,838","58,419",348,28,2209,343,592,1270
3804,松山,"196,788","62,346","2,337",50,9322,1872,1932,5490
3805,八幡浜・大洲,"138,638","54,925",273,15,2097,527,568,990
3806,宇和島,"109,587","44,204",263,12,1965,266,283,1407
3901,安芸,"46,815","20,472",105,6,891,411,176,299
3902,中央,"523,480","168,274","1,949",91,12787,2585,3832,6320
3903,高幡,"54,205","22,949",87,8,835,218,293,324
3904,幡多,"84,730","33,991",164,17,1591,349,483,728
4001,福岡・糸島,"1,534,251","385,243","6,656",122,22240,4341,4326,13507
4002,粕屋,"264,919","61,245",602,26,4238,1006,1002,2162
4003,宗像,"163,338","46,579",307,14,2263,968,504,791
4004,筑紫,"440,791","103,881",793,27,4665,1311,1278,2072
4005,朝倉,"84,749","27,665",161,8,1293,340,372,581
4006,久留米,"269,765","79,643","2,188",47,8753,2040,2068,4631
4007,八女・筑後,"119,278","37,736",313,14,2339,464,828,1045
4008,有明,"216,345","76,909",601,32,5695,1666,1133,2874
4009,飯塚,"179,201","59,275",661,21,3631,861,438,2332
4010,直方・鞍手,"107,957","37,483",217,12,1842,730,417,665
4011,田川,"116,770","41,826",257,16,3005,1671,321,1005
4012,北九州,"1,084,916","336,340","3,744",103,20262,4602,4498,11088
4013,京築,"188,127","58,847",284,14,2438,900,773,765
4101,中部,"344,552","97,860","2,170",37,5640,1419,1117,3096
4102,東部,"126,676","33,628",729,13,2362,772,853,703
4103,北部,"126,783","40,156",189,18,2040,611,589,836
4104,西部,"74,392","23,762",516,10,1244,330,438,472
4105,南部,"151,407","49,280",345,22,3165,1029,916,1216
4201,長崎,"515,277","162,765","2,232",53,10997,3766,2457,4747
4202,佐世保県北,"317,128","102,195",312,34,5605,1447,1470,2662
4203,県央,"270,011","76,493",159,32,5444,1807,1008,2592
4204,県南,"133,624","47,905",262,17,2198,604,765,825
4206,五島,"36,704","14,486",66,4,508,60,54,380
4207,上五島,"21,209","8,905",159,1,186,-,50,132
4208,壱岐,"26,439","9,789",23,5,483,78,149,246
4209,対馬,"30,377","11,189",61,2,335,45,-,282
4302,宇城,"120,379","39,092",1,11,1644,607,297,714
4303,有明,"159,271","55,611",300,12,2332,906,651,771
4304,鹿本,"51,599","18,989",104,6,826,240,207,375
4305,菊池,"188,663","47,196",349,16,3087,816,364,1903
4306,阿蘇,"69,092","25,308",91,6,964,270,385,305
4308,八代,"138,458","46,967",358,11,2316,786,540,986
4309,芦北,"45,803","18,733",140,10,1358,380,235,739
4310,球磨,"86,034","32,221",198,11,1408,404,370,624
4311,天草,"60,641","24,254",251,18,2741,707,1016,966
4312,熊本・上益城,"1,224,649","336,761","3,434",107,16069,3623,3536,8877
4401,東部,"203,816","71,133",13,34,4505,850,687,2910
4403,中部,"568,148","162,628","1,925",62,9013,2845,680,5472
4405,南部,"70,708","27,692",149,8,1172,180,267,721
4406,豊肥,"56,763","25,163",49,6,873,212,157,500
4408,西部,"89,476","32,120",158,20,1571,567,241,759
